timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20240409013410953199,175,220,33,0
20240409013411999905,178,220,33,0
20240409013412956874,220,220,43,0
20240409013414065980,192,220,36,0
20240409013415063158,218,220,42,0
20240409013416077028,241,220,47,0
20240409013417060243,245,220,48,0
20240409013418115355,247,220,49,0
20240409013419102701,247,220,49,0
20240409013420175570,246,220,49,0
20240409013421192637,245,220,49,0
20240409013422221912,246,219,49,0
20240409013423154929,245,220,49,0
20240409013424152450,245,220,49,0
20240409013425156055,246,220,49,0
20240409013426164723,246,220,49,0
20240409013427156757,245,220,49,0
20240409013428171994,246,219,49,0
20240409013429160726,246,220,49,0
20240409013430163228,246,220,49,0
20240409013431159322,246,220,49,0
20240409013432161360,246,220,49,0
20240409013433165193,246,220,49,0
20240409013434161115,246,220,49,0
20240409013435161778,246,220,49,0
20240409013436169205,246,220,49,0
20240409013437163116,246,220,49,0
20240409013438165071,246,220,49,0
20240409013439166688,246,220,49,0
20240409013440176332,246,220,49,0
20240409013441166617,246,220,49,0
20240409013442180117,246,220,49,0
20240409013443320182,246,219,49,0
20240409013444247142,246,220,49,0
20240409013445296081,242,220,48,0
20240409013446247857,242,220,48,0
20240409013447338215,223,220,43,0
20240409013448251524,188,220,35,0
20240409013449274221,198,220,38,0
20240409013450276095,175,220,33,0
20240409013451286450,177,220,33,0
20240409013452310877,180,220,34,0
20240409013453326619,178,220,33,0
20240409013454261768,176,220,33,0
20240409013455279837,176,220,33,0
20240409013456282880,176,220,33,0
20240409013457310845,176,220,33,0
20240409013458288125,176,220,33,0
20240409013459283527,176,220,33,0
20240409013500292198,176,220,33,0
20240409013501288614,176,220,33,0
20240409013502288665,176,220,33,0
20240409013503295772,176,220,33,0
20240409013504297995,176,220,33,0
20240409013505301665,176,220,33,0
20240409013506292353,176,220,33,0
20240409013507271421,176,220,33,0
