timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20240409021022053850,196,220,36,0
20240409021023063702,196,220,36,0
20240409021024069453,196,220,36,0
20240409021025065252,196,220,36,0
20240409021026070386,196,220,36,0
20240409021027076502,196,220,36,0
20240409021028075224,196,220,36,0
20240409021029075012,196,220,36,0
20240409021030076353,196,220,36,0
20240409021031074793,196,220,36,0
20240409021032076463,196,220,36,0
20240409021033083194,196,220,36,0
20240409021034082350,196,220,36,0
20240409021035083246,196,220,36,0
20240409021036085450,196,220,36,0
20240409021037088763,196,220,36,0
20240409021038174816,196,220,36,0
20240409021039148244,196,220,36,0
20240409021040152493,196,220,36,0
20240409021041366015,196,220,36,0
20240409021042143469,196,220,36,0
20240409021043167602,196,220,36,0
20240409021044166113,197,220,36,0
20240409021045169136,206,220,38,0
20240409021046174384,200,220,37,0
20240409021047167166,214,220,40,0
20240409021048171054,220,220,41,0
20240409021049171604,220,220,41,0
20240409021050172498,221,220,42,0
20240409021051180905,219,220,41,0
20240409021052180832,219,220,41,0
20240409021053180336,219,220,41,0
20240409021054180969,219,220,41,0
20240409021055182325,219,220,41,0
20240409021056182619,219,219,41,0
20240409021057181362,219,220,41,0
20240409021058184260,219,220,41,0
20240409021059256315,219,220,41,0
20240409021100271533,219,220,41,0
20240409021101226635,219,220,41,0
20240409021102614877,219,220,41,0
20240409021103639137,219,220,41,0
20240409021104734625,219,220,41,0
20240409021105763995,219,220,41,0
20240409021106759057,219,220,41,0
20240409021107795026,219,220,41,0
20240409021108788259,219,220,41,0
20240409021109797327,219,220,41,0
20240409021110793389,219,220,41,0
20240409021111801897,219,220,41,0
20240409021112783409,219,220,41,0
20240409021113810593,219,220,41,0
20240409021114797870,219,220,41,0
20240409021115801549,219,220,41,0
20240409021116804710,219,220,41,0
20240409021117803670,219,220,41,0
20240409021118803574,219,220,41,0
20240409021119803143,219,220,41,0
20240409021120804002,219,220,41,0
20240409021121805326,219,220,41,0
20240409021122813544,219,220,41,0
20240409021123809827,219,220,41,0
20240409021124809421,219,220,41,0
20240409021125813038,219,220,41,0
20240409021126814352,220,220,41,0
20240409021127818557,219,220,41,0
20240409021128818080,219,220,41,0
20240409021129818922,219,220,41,0
20240409021130825056,219,220,41,0
20240409021131818762,219,220,41,0
20240409021132827091,219,220,41,0
20240409021133825254,220,220,41,0
20240409021134827005,220,220,41,0
20240409021135821659,219,220,41,0
20240409021136829040,220,220,41,0
20240409021137830781,219,220,41,0
20240409021138843136,220,220,41,0
20240409021139826933,219,220,41,0
20240409021140829123,220,220,41,0
20240409021141829614,220,220,41,0
20240409021142833477,220,220,41,0
20240409021143832751,219,220,41,0
20240409021144834871,220,220,41,0
20240409021145835643,219,220,41,0
20240409021146832565,220,220,41,0
20240409021147841014,220,220,41,0
20240409021148833373,219,220,41,0
20240409021149837380,220,220,41,0
20240409021150844315,219,220,41,0
20240409021151839437,219,220,41,0
20240409021152839025,199,220,36,1
20240409021153844363,196,220,36,1
20240409021154844973,196,220,36,1
